================================================================================
CƏDVƏL 4 / ТАБЛИЦА 4 / TABLE 4
Universal vaqonlarda tranzit daşınan yüklərin tarif qiymətləri
(İsveçrə frankı ilə 1 tonun qiyməti / Тарифные ставки в CHF за 1 тонну)
================================================================================
Məsafə | 10 t | 15 t | 20 t | 25 t | 30 t | 35 t | 40 t | 45 t | 50 t | 55 t | 60 t
431-440 | 62.81 | 52.32 | 41.88 | 39.78 | 37.00 | 33.01 | 29.84 | 27.05 | 25.07 | 23.47 | 21.88
441-450 | 63.81 | 53.24 | 42.60 | 40.43 | 37.59 | 33.55 | 30.32 | 27.48 | 25.47 | 23.85 | 22.23
451-460 | 60.82 | 50.72 | 40.61 | 38.49 | 35.80 | 31.95 | 28.87 | 26.18 | 24.26 | 22.72 | 21.17
461-470 | 61.82 | 51.51 | 41.20 | 39.16 | 36.42 | 32.51 | 29.38 | 26.63 | 24.67 | 23.10 | 21.54
471-480 | 62.82 | 52.38 | 41.87 | 39.76 | 36.98 | 33.00 | 29.83 | 27.04 | 25.05 | 23.46 | 21.87
481-490 | 63.82 | 53.17 | 42.53 | 40.42 | 37.59 | 33.55 | 30.32 | 27.49 | 25.47 | 23.85 | 22.23
491-500 | 64.82 | 53.97 | 43.20 | 41.02 | 38.15 | 34.05 | 30.77 | 27.89 | 25.85 | 24.20 | 22.56
501-510 | 65.75 | 54.77 | 43.87 | 41.63 | 38.71 | 34.55 | 31.22 | 28.31 | 26.23 | 24.56 | 22.90
511-520 | 66.68 | 55.58 | 44.47 | 42.22 | 39.27 | 35.05 | 31.67 | 28.71 | 26.60 | 24.91 | 23.22
521-530 | 67.62 | 56.38 | 45.06 | 42.82 | 39.83 | 35.54 | 32.12 | 29.12 | 26.98 | 25.26 | 23.55
531-540 | 68.54 | 57.11 | 45.73 | 43.43 | 40.38 | 36.04 | 32.56 | 29.53 | 27.36 | 25.62 | 23.89
541-550 | 69.48 | 57.91 | 46.32 | 44.02 | 40.94 | 36.54 | 33.01 | 29.93 | 27.74 | 25.97 | 24.21
551-560 | 70.41 | 58.70 | 46.93 | 44.62 | 41.50 | 37.04 | 33.46 | 30.34 | 28.11 | 26.33 | 24.54
561-570 | 71.34 | 59.50 | 47.59 | 45.15 | 41.99 | 37.48 | 33.87 | 30.71 | 28.45 | 26.64 | 24.83
571-580 | 72.27 | 60.24 | 48.20 | 45.76 | 42.55 | 37.97 | 34.32 | 31.11 | 28.83 | 26.99 | 25.16
581-590 | 73.21 | 61.03 | 48.86 | 46.35 | 43.11 | 38.48 | 34.77 | 31.52 | 29.21 | 27.35 | 25.50
591-600 | 74.14 | 61.83 | 49.46 | 46.95 | 43.67 | 38.97 | 35.22 | 31.93 | 29.58 | 27.70 | 25.82
601-610 | 75.14 | 62.63 | 50.06 | 47.56 | 44.23 | 39.47 | 35.67 | 32.34 | 29.96 | 28.05 | 26.15
611-620 | 76.07 | 63.43 | 50.72 | 48.21 | 44.84 | 40.01 | 36.16 | 32.79 | 30.38 | 28.45 | 26.51
621-630 | 77.07 | 64.22 | 51.39 | 48.82 | 45.40 | 40.52 | 36.61 | 33.19 | 30.75 | 28.80 | 26.85
631-640 | 78.07 | 65.03 | 52.06 | 49.41 | 45.95 | 41.01 | 37.06 | 33.60 | 31.13 | 29.15 | 27.18
641-650 | 79.00 | 65.83 | 52.66 | 50.01 | 46.51 | 41.51 | 37.51 | 34.01 | 31.51 | 29.51 | 27.50
651-660 | 79.99 | 66.69 | 53.33 | 50.68 | 47.13 | 42.07 | 38.01 | 34.46 | 31.93 | 29.90 | 27.87
661-670 | 80.93 | 67.49 | 53.99 | 51.28 | 47.69 | 42.56 | 38.46 | 34.87 | 32.31 | 30.26 | 28.21
671-680 | 81.93 | 68.29 | 54.65 | 51.88 | 48.25 | 43.06 | 38.91 | 35.28 | 32.69 | 30.61 | 28.53
681-690 | 82.93 | 69.09 | 55.25 | 52.48 | 48.81 | 43.56 | 39.36 | 35.69 | 33.07 | 30.96 | 28.86
