from_code,from_name,to_code,to_name,distance_km
547707,Binə,547508,Yalama (eksport),227.0
547707,Binə,554503,Astara (eksport),347.0
547707,Binə,558701,Böyük Kəsik (eksport),523.0
547707,Binə,550108,Culfa (eksport),513.0
547707,Binə,553002,Ələt eksport-Kurik,114.0
547707,Binə,548803,Ələt eksport-Türk.,114.0
547707,Binə,549204,Ələt eksport-Aktau,114.0
558631,Böyük Kəsik,547508,Yalama (eksport),676.0
558631,Böyük Kəsik,554503,Astara (eksport),582.0
558631,Böyük Kəsik,558701,Böyük Kəsik (eksport),4.0
558631,Böyük Kəsik,550108,Culfa (eksport),748.0
558631,Böyük Kəsik,553002,Ələt eksport-Kurik,425.0
558631,Böyük Kəsik,548803,Ələt eksport-Türk.,425.0
558631,Böyük Kəsik,549204,Ələt eksport-Aktau,425.0
558701,Böyük Kəsik (eksport),547508,Yalama (eksport),680.0
558701,Böyük Kəsik (eksport),554503,Astara (eksport),586.0
558701,Böyük Kəsik (eksport),558701,Böyük Kəsik (eksport),0.0
558701,Böyük Kəsik (eksport),550108,Culfa (eksport),752.0
558701,Böyük Kəsik (eksport),553002,Ələt eksport-Kurik,429.0
558701,Böyük Kəsik (eksport),548803,Ələt eksport-Türk.,429.0
558701,Böyük Kəsik (eksport),549204,Ələt eksport-Aktau,429.0
545400,Çarxı,547508,Yalama (eksport),52.0
545400,Çarxı,554503,Astara (eksport),452.0
545400,Çarxı,558701,Böyük Kəsik (eksport),628.0
545400,Çarxı,550108,Culfa (eksport),618.0
545400,Çarxı,553002,Ələt eksport-Kurik,219.0
545400,Çarxı,548803,Ələt eksport-Türk.,219.0
545400,Çarxı,549204,Ələt eksport-Aktau,219.0
553303,Cəlilabad,547508,Yalama (eksport),414.0
553303,Cəlilabad,554503,Astara (eksport),90.0
553303,Cəlilabad,558701,Böyük Kəsik (eksport),496.0
553303,Cəlilabad,550108,Culfa (eksport),442.0
553303,Cəlilabad,553002,Ələt eksport-Kurik,163.0
553303,Cəlilabad,548803,Ələt eksport-Türk.,163.0
553303,Cəlilabad,549204,Ələt eksport-Aktau,163.0
550004,Culfa,547508,Yalama (eksport),670.0
550004,Culfa,554503,Astara (eksport),532.0
550004,Culfa,558701,Böyük Kəsik (eksport),752.0
550004,Culfa,550108,Culfa (eksport),0.0
550004,Culfa,553002,Ələt eksport-Kurik,419.0
550004,Culfa,548803,Ələt eksport-Türk.,419.0
550004,Culfa,549204,Ələt eksport-Aktau,419.0
550108,Culfa (eksport),547508,Yalama (eksport),670.0
550108,Culfa (eksport),554503,Astara (eksport),532.0
550108,Culfa (eksport),558701,Böyük Kəsik (eksport),752.0
550108,Culfa (eksport),550108,Culfa (eksport),0.0
550108,Culfa (eksport),553002,Ələt eksport-Kurik,419.0
550108,Culfa (eksport),548803,Ələt eksport-Türk.,419.0
550108,Culfa (eksport),549204,Ələt eksport-Aktau,419.0
551906,Daşburun,547508,Yalama (eksport),426.0
551906,Daşburun,554503,Astara (eksport),288.0
551906,Daşburun,558701,Böyük Kəsik (eksport),508.0
551906,Daşburun,550108,Culfa (eksport),244.0
551906,Daşburun,553002,Ələt eksport-Kurik,175.0
551906,Daşburun,548803,Ələt eksport-Türk.,175.0
551906,Daşburun,549204,Ələt eksport-Aktau,175.0
556803,Dəllər,547508,Yalama (eksport),572.0
556803,Dəllər,554503,Astara (eksport),478.0
556803,Dəllər,558701,Böyük Kəsik (eksport),108.0
556803,Dəllər,550108,Culfa (eksport),644.0
556803,Dəllər,553002,Ələt eksport-Kurik,321.0
556803,Dəllər,548803,Ələt eksport-Türk.,321.0
556803,Dəllər,549204,Ələt eksport-Aktau,321.0
556000,Dəlməmmədli,547508,Yalama (eksport),521.0
556000,Dəlməmmədli,554503,Astara (eksport),427.0
