================================================================================
CƏDVƏL 7 / ТАБЛИЦА 7 / TABLE 7
Yüklərin vaqonlarda və ortatonnaqlı konteynerlərdə daşınması üçün BTT-nin baza qiymətləri
(İsveçrə frankı ilə / Тарифные ставки в CHF)
================================================================================
Колонки:
1: Məsafə, km
2: Vaqon: 5 ton (1 tonun qiyməti)
3: Vaqon: 10 ton (1 tonun qiyməti)
4: Vaqon: 15 ton (1 tonun qiyməti)
5: Vaqon: 20 ton (1 tonun qiyməti)
6: Vaqon: 25 ton / Sərnişin vaqonları / Poçt YHN 99910000 (1 tonun qiyməti)
7: Konteyner Yüklü: 3 ton (1 konteynerin qiyməti)
8: Konteyner Yüklü: 5 ton (1 konteynerin qiyməti)
9: Konteyner Boş: 3 ton (1 konteynerin qiyməti)
10: Konteyner Boş: 5 ton (1 konteynerin qiyməti)
================================================================================
Məsafə | Col 2 | Col 3 | Col 4 | Col 5 | Col 6 | Col 7 | Col 8 | Col 9 | Col 10
361-370 | 80.40 | 67.02 | 55.92 | 44.72 | 42.43 | 139 | 279 | 70 | 139
371-380 | 82.47 | 68.76 | 57.34 | 45.80 | 43.52 | 143 | 285 | 72 | 143
381-390 | 84.54 | 70.39 | 58.75 | 47.00 | 44.61 | 147 | 294 | 73 | 147
391-400 | 86.60 | 72.13 | 60.17 | 48.09 | 45.70 | 150 | 300 | 75 | 150
401-410 | 88.56 | 73.77 | 61.47 | 49.18 | 46.78 | 154 | 309 | 77 | 154
411-420 | 90.52 | 75.40 | 62.89 | 50.27 | 47.76 | 158 | 316 | 79 | 158
421-430 | 92.37 | 77.03 | 64.19 | 51.35 | 48.74 | 162 | 324 | 81 | 162
431-440 | 94.33 | 78.66 | 65.50 | 52.44 | 49.83 | 165 | 331 | 83 | 165
441-450 | 96.29 | 80.19 | 66.91 | 53.53 | 50.81 | 170 | 339 | 85 | 170
451-460 | 98.25 | 81.82 | 68.22 | 54.62 | 51.79 | 173 | 346 | 87 | 173
461-470 | 100.20 | 83.45 | 69.52 | 55.60 | 52.88 | 177 | 355 | 88 | 177
471-480 | 102.05 | 85.08 | 70.94 | 56.68 | 53.86 | 181 | 361 | 90 | 181
481-490 | 104.01 | 86.71 | 72.24 | 57.77 | 54.94 | 185 | 370 | 92 | 185
491-500 | 105.97 | 88.35 | 73.55 | 58.86 | 55.92 | 188 | 376 | 95 | 188
501-510 | 107.82 | 89.87 | 74.85 | 59.95 | 56.90 | 193 | 385 | 96 | 193
511-520 | 109.67 | 91.39 | 76.16 | 60.93 | 57.88 | 196 | 392 | 98 | 196
521-530 | 111.52 | 92.92 | 77.47 | 61.91 | 58.86 | 200 | 400 | 100 | 200
531-540 | 113.37 | 94.44 | 78.66 | 63.00 | 59.84 | 203 | 407 | 102 | 203
541-550 | 115.22 | 95.96 | 79.97 | 63.97 | 60.82 | 208 | 416 | 103 | 208
