================================================================================
CƏDVƏL 5 / ТАБЛИЦА 5 / TABLE 5
İzotermik vaqonlarda, avtomobil daşıyan xüsusi təyinatlı örtülü vaqonlarda 
daşınan yüklərin və İNV, ANV daşımalarının tarif qiymətləri
(İsveçrə frankı ilə / Тарифные ставки в CHF)
================================================================================
Колонки:
1: Məsafə, km
2: Refrijeratorlar, ARV (25 tondan aşağı 1 vaqon)
3: Refrijeratorlar, ARV (25 ton və yuxarı 1 ton)
4: Vaqon-termoslar, vaqon-ledniklər (25 tondan aşağı 1 vaqon)
5: Vaqon-termoslar, vaqon-ledniklər (25 ton və yuxarı 1 ton)
6: Xüsusi təyinatlı örtülü vaqonlarda daşınan avtomobillər (10 ton və yuxarı 1 ton)
7: İNV, ANV daşımaları (yüklü)
8: İNV, ANV daşımaları (boş)
================================================================================
Məsafə | Col 2 | Col 3 | Col 4 | Col 5 | Col 6 | Col 7 | Col 8
581-590 | 1702.75 | 64.63 | 1021.65 | 38.78 | 102.05 | 1020.50 | 714.35
591-600 | 1727.25 | 65.61 | 1036.35 | 39.37 | 103.58 | 1035.80 | 725.06
601-610 | 1751.75 | 66.59 | 1051.05 | 39.95 | 105.21 | 1052.10 | 736.47
611-620 | 1779.00 | 67.67 | 1067.40 | 40.60 | 106.73 | 1067.30 | 747.11
621-630 | 1806.00 | 68.65 | 1083.60 | 41.19 | 108.36 | 1083.60 | 758.52
631-640 | 1833.25 | 69.63 | 1099.95 | 41.78 | 110.00 | 1100.00 | 770.00
641-650 | 1857.75 | 70.61 | 1114.65 | 42.37 | 111.52 | 1115.20 | 780.64
651-660 | 1885.00 | 71.70 | 1131.00 | 43.02 | 113.15 | 1131.50 | 792.05
661-670 | 1912.25 | 72.68 | 1147.35 | 43.61 | 114.68 | 1146.80 | 802.76
671-680 | 1939.25 | 73.66 | 1163.55 | 44.20 | 116.31 | 1163.10 | 814.17
681-690 | 1963.75 | 74.64 | 1178.25 | 44.78 | 117.94 | 1179.40 | 825.58
691-700 | 1991.00 | 75.72 | 1194.60 | 45.43 | 119.46 | 1194.60 | 836.22
701-710 | 2015.50 | 76.60 | 1209.30 | 45.96 | 120.99 | 1209.90 | 846.93
711-720 | 2040.00 | 77.47 | 1224.00 | 46.48 | 122.40 | 1224.00 | 856.80
