Yalama | Abşeron | 204
Yalama-eksp. | Abşeron | 204
Astara | Abşeron | 300
Böyük Kəsik | Abşeron | 476
Culfa | Abşeron | 466
Ələt | Abşeron | 67

Yalama | Ağdam | 548
Yalama-eksp. | Ağdam | 548
Astara | Ağdam | 454
Böyük Kəsik | Ağdam | 286
Culfa | Ağdam | 620
Ələt | Ağdam | 297

Yalama | Ağstafa | 633
Yalama-eksp. | Ağstafa | 633
Astara | Ağstafa | 539
Böyük Kəsik | Ağstafa | 47
Culfa | Ağstafa | 705
Ələt | Ağstafa | 382

Yalama | Alabaşlı | 551
Yalama-eksp. | Alabaşlı | 551
Astara | Alabaşlı | 457
Böyük Kəsik | Alabaşlı | 129
Culfa | Alabaşlı | 623
Ələt | Alabaşlı | 300

Yalama | Astara | 504
Yalama-eksp. | Astara | 504
Böyük Kəsik | Astara | 586
Culfa | Astara | 532
Ələt | Astara | 253

Yalama | Atbulaq | 274
Yalama-eksp. | Atbulaq | 274
Astara | Atbulaq | 240
Böyük Kəsik | Atbulaq | 406
Culfa | Atbulaq | 406
Ələt | Atbulaq | 23

Yalama | Bakı yük | 207
Yalama-eksp. | Bakı yük | 207
Astara | Bakı yük | 327
Böyük Kəsik | Bakı yük | 503
Culfa | Bakı yük | 493
Ələt | Bakı yük | 94

Yalama | Bakı yük terminal | 212
Yalama-eksp. | Bakı yük terminal | 212
Astara | Bakı yük terminal | 332
Böyük Kəsik | Bakı yük terminal | 508
Culfa | Bakı yük terminal | 498
Ələt | Bakı yük terminal | 99

Yalama | Balakən | 634
Yalama-eksp. | Balakən | 634
Astara | Balakən | 540
Böyük Kəsik | Balakən | 372
Culfa | Balakən | 706
Ələt | Balakən | 383

Yalama | Bartaz | 556
Yalama-eksp. | Bartaz | 556
Astara | Bartaz | 418
Böyük Kəsik | Bartaz | 638
Culfa | Bartaz | 114
Ələt | Bartaz | 305

Yalama | Barxudarlı | 663
Yalama-eksp. | Barxudarlı | 663
Astara | Barxudarlı | 569
Böyük Kəsik | Barxudarlı | 77
Culfa | Barxudarlı | 735
Ələt | Barxudarlı | 412

Yalama | Başbaşı | 727
Yalama-eksp. | Başbaşı | 727
Astara | Başbaşı | 589
Böyük Kəsik | Başbaşı | 809
Culfa | Başbaşı | 57
Ələt | Başbaşı | 476

Yalama | Bərdə | 503
Yalama-eksp. | Bərdə | 503
Astara | Bərdə | 409
Böyük Kəsik | Bərdə | 241
Culfa | Bərdə | 575
Ələt | Bərdə | 252

Yalama | Bərguşad | 414
Yalama-eksp. | Bərguşad | 414
Astara | Bərguşad | 320
Böyük Kəsik | Bərguşad | 266
Culfa | Bərguşad | 486
Ələt | Bərguşad | 163

Yalama | Biləcəri | 192
Yalama-eksp. | Biləcəri | 192
Astara | Biləcəri | 312
Böyük Kəsik | Biləcəri | 488
Culfa | Biləcəri | 478
Ələt | Biləcəri | 79

Yalama | Binə | 227
Yalama-eksp. | Binə | 227
Astara | Binə | 347
Böyük Kəsik | Binə | 523
Culfa | Binə | 513
Ələt | Binə | 114

Yalama | Böyük Kəsik | 676
Yalama-eksp. | Böyük Kəsik | 676
Böyük Kəsik-eksp. | Böyük Kəsik | 0
Astara | Böyük Kəsik | 582
Culfa | Böyük Kəsik | 748
Ələt | Böyük Kəsik | 425

Yalama | Çarxı | 52
Yalama-eksp. | Çarxı | 52
Astara | Çarxı | 452
Böyük Kəsik | Çarxı | 628
Culfa | Çarxı | 618
Ələt | Çarxı | 219

Yalama | Cəlilabad | 414
Yalama-eksp. | Cəlilabad | 414
Astara | Cəlilabad | 90
Böyük Kəsik | Cəlilabad | 496
Culfa | Cəlilabad | 442
Ələt | Cəlilabad | 163

Yalama | Culfa | 670
Yalama-eksp. | Culfa | 670
Culfa-eksp. | Culfa | 0
Astara | Culfa | 532
Böyük Kəsik | Culfa | 752
Ələt | Culfa | 419

Yalama | Daşburun | 426
Yalama-eksp. | Daşburun | 426
Astara | Daşburun | 288
Böyük Kəsik | Daşburun | 508
Culfa | Daşburun | 244
Ələt | Daşburun | 175

Yalama | Dəllər | 572
Yalama-eksp. | Dəllər | 572
Astara | Dəllər | 478
Böyük Kəsik | Dəllər | 108
Culfa | Dəllər | 644
Ələt | Dəllər | 321

Yalama | Dəlməmmədli | 521
Yalama-eksp. | Dəlməmmədli | 521
Astara | Dəlməmmədli | 427
Böyük Kəsik | Dəlməmmədli | 159
Culfa | Dəlməmmədli | 593
Ələt | Dəlməmmədli | 270

Yalama | Dübəndi | 242
Yalama-eksp. | Dübəndi | 242
Astara | Dübəndi | 362
Böyük Kəsik | Dübəndi | 538
Culfa | Dübəndi | 528
Ələt | Dübəndi | 129

Yalama | Ələt | 261
Yalama-eksp. | Ələt | 261
Ələt-eksp. | Ələt | 10
Astara | Ələt | 243
Böyük Kəsik | Ələt | 419
Culfa | Ələt | 409

Yalama | Ələt eksport Aktau | 271
Yalama-eksp. | Ələt eksport Aktau | 271
Ələt-eksp. | Ələt eksport Aktau | 0

Yalama | Ələt eksport Kurik | 271
Yalama-eksp. | Ələt eksport Kurik | 271
Ələt-eksp. | Ələt eksport Kurik | 0

Yalama | Ələt eksport-Türk. | 271
Yalama-eksp. | Ələt eksport-Türk. | 271
Ələt-eksp. | Ələt eksport-Türk. | 0

Yalama | Bakı ticarət liman | 271
Yalama-eksp. | Bakı ticarət liman | 271
Ələt-eksp. | Bakı ticarət liman | 0

Yalama | Bakı ticarət limanı (eks) | 271
Yalama-eksp. | Bakı ticarət limanı (eks) | 271
