Məsafə | Col 1 | Col 2 | Col 3 | Col 4 | Col 5 | Col 6 | Col 7 | Col 8 | Col 9 | Col 10
811-820 | 2040.00 | 204.00 | 170.06 | 135.94 | 129.25 | 2720.00 | 272.00 | 226.74 | 181.26 | 172.34
821-830 | 2059.65 | 205.97 | 171.69 | 137.25 | 130.40 | 2746.20 | 274.62 | 228.92 | 183.00 | 173.86
831-840 | 2079.15 | 207.92 | 173.32 | 138.56 | 131.70 | 2772.20 | 277.22 | 231.10 | 184.74 | 175.60
841-850 | 2098.80 | 209.88 | 174.94 | 139.86 | 132.84 | 2798.40 | 279.84 | 233.26 | 186.48 | 177.12
851-860 | 2118.30 | 211.83 | 176.58 | 141.16 | 134.15 | 2824.40 | 282.44 | 235.44 | 188.22 | 178.86
861-870 | 2137.95 | 213.80 | 178.05 | 142.47 | 135.30 | 2850.60 | 285.06 | 237.40 | 189.96 | 180.40
871-880 | 2157.45 | 215.75 | 179.69 | 143.77 | 136.60 | 2876.60 | 287.66 | 239.58 | 191.70 | 182.14
881-890 | 2177.10 | 217.71 | 181.32 | 145.08 | 137.91 | 2902.80 | 290.28 | 241.76 | 193.44 | 183.88
891-900 | 2195.10 | 219.51 | 182.94 | 146.38 | 139.05 | 2926.80 | 292.68 | 243.92 | 195.18 | 185.40
901-910 | 2214.60 | 221.46 | 184.57 | 147.69 | 140.19 | 2952.80 | 295.28 | 246.10 | 196.92 | 186.92
911-920 | 2232.60 | 223.26 | 186.05 | 148.84 | 141.33 | 2976.80 | 297.68 | 248.06 | 198.46 | 188.44
921-930 | 2250.60 | 225.06 | 187.52 | 149.98 | 142.47 | 3000.80 | 300.08 | 250.02 | 199.98 | 189.96
931-940 | 2268.45 | 226.84 | 189.15 | 151.29 | 143.61 | 3024.60 | 302.46 | 252.20 | 201.72 | 191.48
941-950 | 2286.45 | 228.65 | 190.62 | 152.43 | 144.91 | 3048.60 | 304.86 | 254.16 | 203.24 | 193.22
951-960 | 2304.45 | 230.44 | 192.09 | 153.73 | 146.07 | 3072.60 | 307.26 | 256.12 | 204.98 | 194.76
961-970 | 2323.95 | 232.40 | 193.56 | 154.88 | 147.21 | 3098.60 | 309.86 | 258.08 | 206.50 | 196.28
971-980 | 2341.95 | 234.19 | 195.18 | 156.02 | 148.35 | 3122.60 | 312.26 | 260.24 | 208.02 | 197.80
981-990 | 2359.80 | 235.98 | 196.65 | 157.32 | 149.49 | 3146.40 | 314.64 | 262.20 | 209.76 | 199.32
991-1000 | 2377.80 | 237.78 | 198.12 | 158.46 | 150.63 | 3170.40 | 317.04 | 264.16 | 211.28 | 200.84
