Təhlükəli_yük_adı | BMT_№ | BDYS_2_adı | Sinif | Tətbiq_tipi
Zəhərli maye kəskin (LK50 <= 200, buxar >= 10) | 3389 | Zəhərli maye kəskin | 6.1 | cen
Zəhərli maye tezalışan (LK50 <= 1000, buxar >= 10) | 3384 | Zəhərli maye tezalışan | 6.1 | cen
Zəhərli maye zərərli (LK50 <= 1000, buxar >= 10) | 3382 | Zəhərli maye zərərli | 6.1 | cen
Zəhərli maye oksidləşdirən (LK50 <= 1000, buxar >= 10) | 3388 | Zəhərli maye oksidləşdirən | 6.1 | cen
Zəhərli maye zərərli suya həssas (LK50 <= 1000, buxar >= 10) | 3386 | Zəhərli maye zərərli suya həssas | 6.1 | cen
Zəhərli maye zərərli suya həssas (LK50 <= 200, buxar >= 500) | 3385 | Zəhərli maye zərərli suya həssas | 6.1 | cen
İzopropilnitrat | 2407 | İzopropilnitrat | 6.1 | ortulu_konteyner
Krotonaldeqid | 1143 | Krotonaldeqid | 6.1 | cen
Sabitləşdirilmiş Metilvinilketon | 1251 | Sabitləşdirilmiş Metilvinilketon | 6.1 | cen
Metilqidrazin | 1244 | Metilqidrazin | 6.1 | hamisi
Metilizosianat | 2480 | Metilizosianat | 6.1 | cen
Metilortosilikat | 2606 | Metilortosilikat | 6.1 | cen
Metilxlorformiat | 1238 | Metilxlorformiat | 6.1 | cen
N-Butilizosianat | 2485 | N-Butilizosianat | 6.1 | cen
N-Butilxlorformiat | 2743 | N-Butilxlorformiat | 6.1 | cen
N-Propilizosianat | 2482 | N-Propilizosianat | 6.1 | cen
N-Propilxlorformiat | 2740 | N-Propilxlorformiat | 6.1 | cen
Nikel Karbonil | 1259 | Nikel Karbonil | 6.1 | cen
Zəhərli tezalışan fosforlu birləşmə | 3279 | Zəhərli tezalışan fosforlu birləşmə | 6.1 | cen
Spirt Alliloviy | 1098 | Spirt Alliloviy | 6.1 | cen
Tret-Butilizosianat | 2484 | Tret-Butilizosianat | 6.1 | cen
Trimetilasetilxlorid | 2438 | Trimetilasetilxlorid | 6.1 | hamisi
Sabitləşdirilmiş Xloraseton | 1695 | Sabitləşdirilmiş Xloraseton | 6.1 | hamisi
Siklobutilxlorformiat | 2744 | Siklobutilxlorformiat | 6.1 | cen
Sabitləşdirilmiş Etilenimin | 1185 | Sabitləşdirilmiş Etilenimin | 6.1 | cen
Etilxlorformiat | 1182 | Etilxlorformiat | 6.1 | cen
Metilxlormetil efiri | 1239 | Metilxlormetil efiri | 6.1 | cen
