================================================================================
CƏDVƏL 6 / ТАБЛИЦА 6 / TABLE 6
Çəndə və bunker yarımvaqonlarda daşınan maye yüklərin tarif qiymətləri
(İsveçrə frankı ilə 1 ton yüklün qiyməti / Тарифные ставки в CHF за 1 тонну)
================================================================================
Колонки:
1: Məsafə, km
2: Neft və neft məhsulları (GNG 27090010, 27090090, 2710, 2712, 2713, 27149000, 2715, 340319, 340399, 3404, 381121, 381129, 38170050, 38241000)
3: Enerjili qazlar (GNG 2705, 2711)
4: Qazlar və karbohidrogenlər (GNG 27071-27075, 27079920, 28011, 28013000, 28013010, 28041-28044, 28112100, 28121100, 28141, 28539030, 2901, 2902, 29321200, 29333100, 29333955, 3817)
5: Spirt və fenollar (GNG 1520, 270779980, 2905-2908, 29094100, 29321300, 3820, 38237, 3826, 39053)
6: Tez xarab olan yüklər (GNG 0401, 04032000-04032039, 04039091-04039099, 04041000, 04041048-04049089, 0405, 0406, 1501-1506, 15161000-15161090, 151790, 15180091-15180099, 2009, 2105, 2201-2206)
7: Digər yüklər (Прочие наливные грузы)
8: Özəl çənlər / Karbohidrogenlər (GNG 27071-27073, 290211, 29022, 29023, 290241-290244, 29026, 29027, 29029)
================================================================================
Məsafə | Col 2 | Col 3 | Col 4 | Col 5 | Col 6 | Col 7 | Col 8
551-560 | 18.41 | 43.26 | 61.80 | 46.35 | 43.26 | 37.08 | 43.26
561-570 | 18.59 | 43.87 | 62.67 | 47.00 | 43.87 | 37.60 | 43.87
571-580 | 18.80 | 44.56 | 63.65 | 47.74 | 44.56 | 38.19 | 44.56
581-590 | 19.02 | 45.24 | 64.63 | 48.47 | 45.24 | 38.78 | 45.24
591-600 | 19.23 | 45.93 | 65.61 | 49.21 | 45.93 | 39.37 | 45.93
601-610 | 20.52 | 46.61 | 66.59 | 49.94 | 46.61 | 39.95 | 46.61
611-620 | 20.77 | 47.37 | 67.67 | 50.75 | 47.37 | 40.60 | 47.37
621-630 | 20.99 | 48.06 | 68.65 | 51.49 | 48.06 | 41.19 | 48.06
631-640 | 21.21 | 48.74 | 69.63 | 52.22 | 48.74 | 41.78 | 48.74
641-650 | 21.44 | 49.43 | 70.61 | 52.96 | 49.43 | 42.37 | 49.43
651-660 | 21.69 | 50.19 | 71.70 | 53.78 | 50.19 | 43.02 | 50.19
661-670 | 21.91 | 50.88 | 72.68 | 54.51 | 50.88 | 43.61 | 50.88
671-680 | 22.13 | 51.56 | 73.66 | 55.25 | 51.56 | 44.20 | 51.56
681-690 | 22.35 | 52.25 | 74.64 | 55.98 | 52.25 | 44.78 | 52.25
691-700 | 22.60 | 53.00 | 75.72 | 56.79 | 53.00 | 45.43 | 53.00
701-710 | 22.80 | 53.62 | 76.60 | 57.45 | 53.62 | 45.96 | 53.62
711-720 | 23.00 | 54.23 | 77.47 | 58.10 | 54.23 | 46.48 | 54.23
721-730 | 23.20 | 54.84 | 78.34 | 58.76 | 54.84 | 47.00 | 54.84
731-740 | 23.39 | 55.45 | 79.21 | 59.41 | 55.45 | 47.53 | 55.45
741-750 | 23.59 | 56.06 | 80.08 | 60.06 | 56.06 | 48.05 | 56.06
751-760 | 23.79 | 56.67 | 80.95 | 60.71 | 56.67 | 48.57 | 56.67
761-770 | 23.99 | 57.27 | 81.82 | 61.37 | 57.27 | 49.09 | 57.27
771-780 | 24.18 | 57.88 | 82.69 | 62.02 | 57.88 | 49.61 | 57.88
781-790 | 24.38 | 58.49 | 83.56 | 62.67 | 58.49 | 50.14 | 58.49
791-800 | 24.61 | 59.18 | 84.54 | 63.41 | 59.18 | 50.72 | 59.18
801-810 | 24.78 | 59.71 | 85.30 | 63.98 | 59.71 | 51.18 | 59.71
811-820 | 24.97 | 60.32 | 86.17 | 64.63 | 60.32 | 51.70 | 60.32
821-830 | 25.15 | 60.85 | 86.93 | 65.20 | 60.85 | 52.16 | 60.85
831-840 | 25.35 | 61.46 | 87.80 | 65.85 | 61.46 | 52.68 | 61.46
841-850 | 25.52 | 61.99 | 88.56 | 66.42 | 61.99 | 53.14 | 61.99
851-860 | 25.72 | 62.60 | 89.43 | 67.07 | 62.60 | 53.66 | 62.60
861-870 | 25.89 | 63.14 | 90.20 | 67.65 | 63.14 | 54.12 | 63.14
871-880 | 26.09 | 63.75 | 91.07 | 68.30 | 63.75 | 54.64 | 63.75
881-890 | 26.29 | 64.36 | 91.94 | 68.96 | 64.36 | 55.16 | 64.36
891-900 | 26.46 | 64.89 | 92.70 | 69.53 | 64.89 | 55.62 | 64.89
901-910 | 26.64 | 65.42 | 93.46 | 70.10 | 65.42 | 56.08 | 65.42
911-920 | 26.81 | 65.95 | 94.22 | 70.67 | 65.95 | 56.53 | 65.95
921-930 | 26.98 | 66.49 | 94.98 | 71.24 | 66.49 | 56.99 | 66.49
931-940 | 27.15 | 67.02 | 95.74 | 71.81 | 67.02 | 57.44 | 67.02
941-950 | 27.35 | 67.63 | 96.61 | 72.46 | 67.63 | 57.97 | 67.63
951-960 | 27.53 | 68.17 | 97.38 | 73.04 | 68.17 | 58.43 | 68.17
961-970 | 27.70 | 68.70 | 98.14 | 73.61 | 68.70 | 58.88 | 68.70
971-980 | 27.87 | 69.23 | 98.90 | 74.18 | 69.23 | 59.34 | 69.23
981-990 | 28.05 | 69.76 | 99.66 | 74.75 | 69.76 | 59.80 | 69.76
991-1000 | 28.22 | 70.29 | 100.42 | 75.32 | 70.29 | 60.25 | 70.29
