Раздел,Глава,Наименование,GNG_text
02,0202,"Мясо крупного рогатого скота, замороженное, прочие отруба, необваленные",02022090
02,0202,"Мясо крупного рогатого скота, замороженное, отруба, кроме полутуш, обваленные",02023000
02,0202,"Мясо  крупного  рогатого  скота,  замороженное,  передние  четвертины  обваленные  цельные  или разрубленные   максимально   на   5   кусков   в   одном   блоке;   ""компенсированные""   четвертины представлены  двумя  блоками,  один  из  которых  содержит ",02023010
02,0202,"Мясо  крупного  рогатого  скота,  замороженное,  лопатка  и  шейно-лопаточная  часть  и  грудинка,
обваленные",02023050
02,0202,"Мясо крупного рогатого скота, замороженное, прочие отруба, обваленные",02023090
02,0203,"Свинина свежая, охлажденная или мороженая",02030000
02,0203,"Свинина свежая или охлажденная, туши и полутуши",02031100
02,0203,"Свинина свежая или охлажденная, туши и полутуши домашних свиней",02031110
02,0203,"Свинина свежая или охлажденная, туши и полутуши прочие",02031190
02,0203,"Свинина свежая или охлажденная, окорока, лопатки и отруба из них, необваленные",02031200
02,0203,"Свинина свежая или охлажденная, окорока и отруба из них, необваленные, домашних свиней",02031211
02,0203,"Свинина свежая или охлажденная, лопатки и отруба из них, необваленные, домашних свиней",02031219
02,0203,"Свинина свежая или охлажденная, отруба прочие, необваленные, домашних свиней",02031290
02,0203,Свинина свежая или охлажденная прочая,02031900
02,0203,"Свинина свежая или охлажденная, края передние и отруба из них домашних свиней",02031911
02,0203,"Свинина свежая или охлажденная, корейки и отруба из них, необваленные, домашних свиней",02031913
02,0203,"Свинина свежая или охлажденная, грудинки (стрики) и отруба из них домашних свиней",02031915
02,0203,"Свинина свежая или охлажденная прочая, домашних свиней, обваленная",02031955
02,0203,"Свинина свежая или охлажденная, отруба прочие, домашних свиней, кроме обваленной",02031959
02,0203,"Свинина свежая или охлажденная прочая, домашних свиней, кроме поименованной выше",02031990
02,0203,"Свинина замороженная, туши и полутуши",02032100
02,0203,"Свинина замороженная, туши и полутуши домашних свиней",02032110
02,0203,"Свинина замороженная, туши и полутуши прочие",02032190
02,0203,"Свинина замороженная, окорока, лопатки и отруба из них, необваленные",02032200
02,0203,"Свинина замороженная, окорока и отруба из них, необваленные, домашних свиней",02032211
02,0203,"Свинина замороженная, лопатки и отруба из них необваленные, домашних свиней",02032219
02,0203,"Свинина замороженная, окорока и отруба из них необваленные, прочие",02032290
02,0203,Свинина замороженная прочая,02032900
02,0203,"Свинина замороженная, края передние и отруба из них домашних свиней",02032911
02,0203,"Свинина замороженная, корейки и отруба из них домашних свиней, необваленные",02032913
02,0203,"Свинина замороженная, грудинки (стрики) и отруба из них, домашних свиней",02032915
02,0203,"Свинина замороженная, отруба прочие, обваленные, домашних свиней",02032955
02,0203,"Свинина замороженная, отруба прочие обваленные, домашних свиней, кроме поименованных выше",02032959
02,0203,"Свинина замороженная прочая, кроме поименованной выше",02032990
02,0204,"Баранина или козлятина свежая, охлажденная или замороженная",02040000
02,0204,"Баранина свежая, охлажденная или замороженная, туши и полутуши ягнят",02041000
02,0204,"Баранина прочая, свежая или охлажденная, туши и полутуши",02042100
02,0204,"Баранина прочая, свежая или охлажденная, отруба прочие, необваленные",02042200
02,0204,"Баранина прочая, свежая или охлажденная, четвертины передние короткого разруба, необваленные",02042210
02,0204,"Баранина прочая, свежая или охлажденная, края хребтовые спинной части и (или) почечные части,
необваленные",02042230
02,0204,"Баранина прочая, свежая или охлажденная, части тазобедренные с голяшкой, необваленные",02042250
02,0204,"Баранина  прочая,  свежая  или  охлажденная,  отруба  прочие,  необваленные,  кроме  поименованных
выше",02042290
02,0204,"Баранина прочая, свежая или охлажденная, обваленная",02042300
02,0204,"Баранина замороженная, туши и полутуши ягнят",02043000
02,0204,"Баранина прочая, замороженная, туши и полутуши",02044100
02,0204,"Баранина прочая, замороженная, отруба прочие, необваленные",02044200
02,0204,"Баранина прочая, замороженная, четвертины передние короткого разруба, необваленные",02044210
02,0204,"Баранина замороженная, края хребтовые спинной части и (или) почечные части, необваленные",02044230
02,0204,"Баранина замороженная, части тазобедренные с голяшкой, необваленные",02044250
02,0204,"Баранина замороженная, отруба прочие, необваленные",02044290
02,0204,"Баранина замороженная, обваленная",02044300
02,0204,"Баранина замороженная, обваленная, мясо ягнят",02044310
02,0204,"Баранина замороженная, обваленная, прочая",02044390
02,0204,Козлятина,02045000
02,0204,"Козлятина свежая или охлажденная, туши и полутуши",02045011
02,0204,"Козлятина свежая или охлажденная, четвертины передние короткого разруба",02045013
02,0204,"Козлятина свежая или охлажденная, края хребтовые спинной части и (или) почечные части",02045015
02,0204,"Козлятина свежая или охлажденная, части тазобедренные с голяшкой",02045019
02,0204,"Козлятина свежая или охлажденная, отруба прочие, необваленные",02045031
02,0204,"Козлятина свежая или охлажденная, отруба прочие, обваленные",02045039
02,0204,"Козлятина замороженная, туши и полутуши",02045051
02,0204,"Козлятина замороженная, четвертины передние короткого разруба",02045053
02,0204,"Козлятина замороженная, хребтовые края спинной части и (или) почечные части",02045055
02,0204,"Козлятина замороженная, части тазобедренные с голяшкой",02045059
02,0204,"Козлятина замороженная, отруба прочие, необваленные",02045071
02,0204,"Козлятина замороженная, отруба обваленные",02045079
02,0205,"Мясо лошадей, ослов, мулов или лошаков свежее, охлажденное или замороженное",02050000
02,0205,"Мясо лошадей, ослов, мулов, лошаков свежее, охлажденное",02050020
02,0205,"Мясо лошадей, ослов, мулов, лошаков замороженное",02050080
02,0206,"Субпродукты  пищевые  крупного  рогатого  скота,  свиней,  овец,  коз,  лошадей,  ослов,  мулов
или лошаков, свежие, охлажденные или мороженые",02060000
02,0206,"Субпродукты пищевые крупного рогатого скота, свежие или охлажденные",02061000
02,0206,"Субпродукты  пищевые  крупного  рогатого  скота,  свежие  или  охлажденные,  для  производства фармацевтической продукции",02061010
02,0206,"Диафрагма толстая и диафрагма тонкая крупного рогатого скота, свежие или охлажденные",02061095
02,0206,"Субпродукты   пищевые   крупного   рогатого   скота,   свежие   или   охлажденные,   прочие,   кроме
поименованных выше",02061098
02,0206,"Языки крупного рогатого скота, замороженные",02062100
02,0206,"Печень крупного рогатого скота, замороженная",02062200
02,0206,"Субпродукты пищевые крупного рогатого скота, прочие, замороженные",02062900
02,0206,"Субпродукты   пищевые   крупного   рогатого   скота,   прочие,   замороженные,   для   производства
фармацевтической продукции",02062910
02,0206,"Диафрагма толстая и диафрагма тонкая крупного рогатого скота, замороженная",02062991
02,0206,"Субпродукты  пищевые  крупного  рогатого  скота  прочие,  замороженные,  кроме  поименованных выше",02062999
02,0206,"Субпродукты пищевые свиные, свежие или охлажденные",02063000
02,0206,"Печень свиная, замороженная",02064100
02,0206,"Субпродукты пищевые свиные прочие, замороженные",02064900
02,0206,Субпродукты пищевые свежие или охлажденные прочие,02068000
02,0206,"Субпродукты пищевые свежие или охлажденные, для производства фармацевтической продукции",02068010
02,0206,"Субпродукты пищевые лошадей, ослов, мулов и лошаков, свежие или охлажденные",02068091
02,0206,"Субпродукты пищевые овец и коз, свежие или охлажденные",02068099
02,0206,Субпродукты пищевые замороженные прочие,02069000
02,0206,Субпродукты пищевые замороженные прочие для производства фармацевтической продукции,02069010
02,0206,"Субпродукты пищевые лошадей, ослов, мулов и лошаков, замороженные",02069091
02,0206,"Субпродукты пищевые овец и коз, замороженные",02069099
02,0207,"Мясо и пищевые субпродукты домашней птицы, указанной в позиции 0105, свежие,
охлажденные или замороженные",02070000
02,0207,"Мясо и пищевые субпродукты кур домашних не разделенные на части, свежие или охлажденные",02071100
